<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.10.16,2:00:00,2662.22,2662.6,2660.48,2660.56,2181,0,100
2024.10.16,3:00:00,2660.56,2660.625,2658.76,2660.25,6687,0,100
2024.10.16,4:00:00,2660.25,2668.08,2660.215,2668.07,23451,0,100
2024.10.16,5:00:00,2668.07,2670.125,2665.55,2668.17,15074,0,100
2024.10.16,6:00:00,2668.18,2669.265,2665.37,2667.185,12822,0,100
2024.10.16,7:00:00,2667.18,2668.285,2665.6,2666.725,5876,0,100
2024.10.16,8:00:00,2666.755,2670.625,2666.15,2669.58,12817,0,100
2024.10.16,9:00:00,2669.61,2677.815,2667.08,2677.24,27196,0,100
2024.10.16,10:00:00,2677.235,2677.515,2673.34,2676.27,17409,0,100
2024.10.16,11:00:00,2676.12,2680.135,2674.585,2679.535,15821,0,100
2024.10.16,12:00:00,2679.54,2682.855,2678.215,2680.215,17104,0,100
2024.10.16,13:00:00,2680.22,2681.005,2673.26,2674.36,15930,0,100
2024.10.16,14:00:00,2674.365,2680.675,2673.04,2678.45,12982,0,100
2024.10.16,15:00:00,2678.45,2681.965,2676.53,2681.785,23702,0,100
2024.10.16,16:00:00,2681.765,2685.465,2672.54,2675.13,43105,0,100
2024.10.16,17:00:00,2675.195,2681.575,2670.07,2672.255,40580,0,100
2024.10.16,18:00:00,2672.255,2675.82,2667.63,2670.07,24585,0,100
2024.10.16,19:00:00,2670.07,2674.28,2666.785,2674.23,13090,0,100
2024.10.16,20:00:00,2674.285,2676.415,2673.2,2675.33,10114,0,100
2024.10.16,21:00:00,2675.325,2676.745,2674.64,2675.035,6236,0,100
2024.10.16,22:00:00,2675.005,2675.135,2672.855,2674.85,4067,0,100
2024.10.16,23:00:00,2674.85,2675.06,2673.175,2673.88,1618,0,100
2024.10.17,1:00:00,2674.55,2675.055,2673.32,2673.82,1253,0,100
2024.10.17,2:00:00,2673.82,2674.725,2673.56,2674.175,1318,0,100
2024.10.17,3:00:00,2674.17,2678.055,2674.165,2677.955,7072,0,100
2024.10.17,4:00:00,2677.94,2683.07,2676.58,2683.05,18263,0,100
2024.10.17,5:00:00,2683.065,2684.96,2678.935,2682.06,21889,0,100
2024.10.17,6:00:00,2682.06,2682.31,2674.57,2676.835,14907,0,100
2024.10.17,7:00:00,2676.835,2679.755,2676.545,2679.075,6735,0,100
2024.10.17,8:00:00,2679.085,2684.405,2678.145,2683.625,14420,0,100
2024.10.17,9:00:00,2683.625,2685.805,2680.14,2681.23,24660,0,100
2024.10.17,10:00:00,2681.23,2683.785,2678.97,2682.155,17643,0,100
2024.10.17,11:00:00,2682.15,2683.89,2680.12,2681.925,13344,0,100
2024.10.17,12:00:00,2681.925,2682.165,2677.05,2679.515,12385,0,100
2024.10.17,13:00:00,2679.505,2688.84,2679.105,2687.465,14731,0,100
2024.10.17,14:00:00,2687.475,2688.48,2680.86,2681.355,14711,0,100
2024.10.17,15:00:00,2681.355,2682.29,2673.185,2680.725,39223,0,100
2024.10.17,16:00:00,2680.73,2690.175,2677.89,2688.77,43700,0,100
2024.10.17,17:00:00,2688.77,2696.57,2684.795,2695.645,38471,0,100
2024.10.17,18:00:00,2695.655,2696.785,2687.625,2693.36,31575,0,100
2024.10.17,19:00:00,2693.365,2693.475,2684.01,2692.24,19413,0,100
2024.10.17,20:00:00,2692.28,2694.285,2690.54,2692.05,11322,0,100
2024.10.17,21:00:00,2692.045,2692.31,2689.245,2689.615,7996,0,100
2024.10.17,22:00:00,2689.615,2692.7,2688.98,2692.05,4572,0,100
2024.10.17,23:00:00,2692.04,2693.035,2691.03,2693,2120,0,100
2024.10.18,1:00:00,2693.195,2693.515,2692.395,2692.73,863,0,100
2024.10.18,2:00:00,2692.78,2694.5,2692.365,2693.9,1708,0,100
2024.10.18,3:00:00,2693.9,2695.82,2692.89,2693.13,9523,0,100
