<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.09.18,20:45:00,2571.05,2571.615,2567.15,2567.805,3296,0,100
2024.09.18,21:00:00,2567.92,2591.595,2567.695,2588.815,18747,0,100
2024.09.18,21:15:00,2588.82,2598.025,2587.35,2594.575,14697,0,100
2024.09.18,21:30:00,2594.535,2600.28,2578.79,2580.865,16937,0,100
2024.09.18,21:45:00,2580.735,2587.7,2571.835,2575.9,16342,0,100
2024.09.18,22:00:00,2575.8,2576.335,2557.505,2566.115,17225,0,100
2024.09.18,22:15:00,2566.055,2566.635,2553.36,2565.61,13990,0,100
2024.09.18,22:30:00,2565.615,2566.105,2552.455,2552.655,10786,0,100
2024.09.18,22:45:00,2552.66,2554.115,2546.815,2549.1,9669,0,100
2024.09.18,23:00:00,2549.09,2555.905,2548.375,2554.925,3789,0,100
2024.09.18,23:15:00,2554.925,2560.905,2554.585,2559.71,2688,0,100
2024.09.18,23:30:00,2559.725,2559.725,2557.1,2558.24,1702,0,100
2024.09.18,23:45:00,2558.215,2559.495,2556.12,2559.415,1050,0,100
2024.09.19,1:00:00,2558.675,2559.215,2555.935,2557.935,801,0,100
2024.09.19,1:15:00,2557.94,2560.245,2557.095,2559.935,727,0,130
2024.09.19,1:30:00,2559.945,2561.635,2559.375,2561.605,1176,0,100
2024.09.19,1:45:00,2561.575,2561.575,2559.035,2559.34,797,0,100
2024.09.19,2:00:00,2559.37,2559.74,2558.425,2558.605,1030,0,130
2024.09.19,2:15:00,2558.605,2558.725,2557.055,2557.615,877,0,100
2024.09.19,2:30:00,2557.6,2558.38,2556.355,2557.235,960,0,100
2024.09.19,2:45:00,2557.225,2559.44,2556.83,2559.415,1436,0,100
2024.09.19,3:00:00,2559.415,2559.62,2557.315,2558.415,4122,0,100
2024.09.19,3:15:00,2558.415,2559.075,2557.01,2557.845,3015,0,100
2024.09.19,3:30:00,2557.845,2558.95,2557.55,2558.745,2076,0,100
2024.09.19,3:45:00,2558.74,2559.54,2557.7,2558.875,4361,0,100
2024.09.19,4:00:00,2558.86,2558.86,2553.135,2554.11,8563,0,100
2024.09.19,4:15:00,2554.105,2557.205,2553.86,2555.74,4409,0,100
2024.09.19,4:30:00,2555.75,2556.265,2551.14,2552.63,5405,0,100
2024.09.19,4:45:00,2552.63,2556.155,2552.27,2555.32,4091,0,100
2024.09.19,5:00:00,2555.32,2559.98,2555.32,2559.395,5509,0,100
2024.09.19,5:15:00,2559.305,2561.485,2559.165,2561.465,2392,0,100
2024.09.19,5:30:00,2561.525,2565.48,2561.45,2564.47,4126,0,100
2024.09.19,5:45:00,2564.47,2566.8,2563.735,2564.145,5590,0,100
2024.09.19,6:00:00,2564.15,2564.52,2561.4,2563.69,4025,0,100
2024.09.19,6:15:00,2563.69,2564.845,2562.35,2564.585,3514,0,100
2024.09.19,6:30:00,2564.59,2565.455,2563.975,2564.55,2867,0,100
2024.09.19,6:45:00,2564.55,2564.925,2564.035,2564.085,2062,0,100
2024.09.19,7:00:00,2564.13,2564.24,2562.155,2562.35,2161,0,100
2024.09.19,7:15:00,2562.345,2562.7,2559.665,2562.685,2647,0,100
2024.09.19,7:30:00,2562.7,2563.11,2562.325,2562.62,2238,0,100
2024.09.19,7:45:00,2562.625,2564.195,2562.08,2564.19,1487,0,100
2024.09.19,8:00:00,2564.19,2568.24,2564.085,2567.34,2550,0,100
2024.09.19,8:15:00,2567.34,2568.92,2566.385,2568.71,2091,0,100
2024.09.19,8:30:00,2568.72,2572.41,2567.585,2571.03,5838,0,100
2024.09.19,8:45:00,2571.035,2574.63,2569.695,2574.625,6159,0,100
2024.09.19,9:00:00,2574.64,2577.485,2574.57,2577.28,5415,0,100
2024.09.19,9:15:00,2577.28,2578.895,2574.87,2576.17,5152,0,100
2024.09.19,9:30:00,2576.17,2577.005,2574.025,2574.71,6230,0,100
2024.09.19,9:45:00,2574.745,2576.85,2574.02,2575.895,4634,0,100
2024.09.19,10:00:00,2575.89,2578.44,2575.14,2577.895,5115,0,100
2024.09.19,10:15:00,2577.885,2580.48,2577.105,2579.595,4740,0,100
2024.09.19,10:30:00,2579.655,2581.28,2577.325,2580.61,5681,0,100
2024.09.19,10:45:00,2580.695,2584.715,2580.05,2584.41,5180,0,100
2024.09.19,11:00:00,2584.41,2585.155,2581.7,2582.775,5236,0,100
2024.09.19,11:15:00,2582.825,2583.265,2581.46,2582.33,3104,0,100
2024.09.19,11:30:00,2582.33,2583.62,2582.1,2583.5,3281,0,100
2024.09.19,11:45:00,2583.45,2586.65,2582.58,2585.045,4284,0,100
2024.09.19,12:00:00,2585.035,2586.54,2584.14,2586.27,4446,0,100
2024.09.19,12:15:00,2586.27,2592.42,2585.79,2590.81,6928,0,100
2024.09.19,12:30:00,2590.785,2594.95,2590.23,2593.145,6800,0,100
2024.09.19,12:45:00,2593.145,2593.305,2591.27,2591.885,3332,0,100
2024.09.19,13:00:00,2591.885,2591.915,2588.92,2590.37,3805,0,100
2024.09.19,13:15:00,2590.345,2590.345,2587.01,2588.525,4328,0,100
2024.09.19,13:30:00,2588.52,2588.885,2586.015,2588.155,4069,0,100
2024.09.19,13:45:00,2588.15,2589.49,2587.605,2588.69,2635,0,100
2024.09.19,14:00:00,2588.71,2589.465,2584.41,2586.355,5057,0,100
2024.09.19,14:15:00,2586.365,2587.11,2584.935,2585.445,4605,0,100
2024.09.19,14:30:00,2585.445,2588.755,2585.32,2587.935,4185,0,100
2024.09.19,14:45:00,2587.94,2589.845,2587.105,2589.44,4100,0,100
2024.09.19,15:00:00,2589.44,2590.815,2588.595,2590.335,5139,0,100
2024.09.19,15:15:00,2590.335,2591.34,2588.9,2589.95,6148,0,100
2024.09.19,15:30:00,2589.6,2589.6,2579.095,2579.5,8293,0,100
2024.09.19,15:45:00,2579.42,2579.425,2573.25,2576.85,10811,0,100
2024.09.19,16:00:00,2576.835,2582.635,2574.76,2579.05,9376,0,100
2024.09.19,16:15:00,2579.065,2579.955,2575.275,2578.475,6805,0,100
2024.09.19,16:30:00,2578.52,2581.37,2573.935,2574.99,10278,0,100
2024.09.19,16:45:00,2574.985,2577.055,2569.795,2575.22,10020,0,100
2024.09.19,17:00:00,2575.24,2578.385,2571.805,2573.915,10296,0,100
2024.09.19,17:15:00,2573.935,2580.565,2572.275,2580.205,9318,0,100
2024.09.19,17:30:00,2580.255,2584.72,2580.1,2583.24,7013,0,100
